,Registration,Consultation,Billing,Xray,Pharmacy,Dressing,Injection,Scan
Patient 0,"{'arrival': '07:30:00 AM', 'start': '07:30:00 AM', 'finish': '07:37:04 AM', 'wait': '0:00:00'}","{'arrival': '09:04:07 AM', 'start': '10:48:38 AM', 'finish': '11:02:40 AM', 'wait': '1:44:31.495967'}","{'arrival': '11:02:40 AM', 'start': '11:07:42 AM', 'finish': '11:17:43 AM', 'wait': '0:05:01.692755'}","{'arrival': '08:37:13 AM', 'start': '08:43:03 AM', 'finish': '09:04:07 AM', 'wait': '0:05:49.775556'}","{'arrival': '11:17:43 AM', 'start': '11:22:46 AM', 'finish': '11:37:46 AM', 'wait': '0:05:02.937273'}","{'arrival': '11:37:46 AM', 'start': '11:37:46 AM', 'finish': '11:52:48 AM', 'wait': '0:00:00.209491'}",,
Patient 1,"{'arrival': '07:30:00 AM', 'start': '07:37:04 AM', 'finish': '07:44:06 AM', 'wait': '0:07:04.547747'}",,,,,,,
Patient 2,"{'arrival': '07:30:00 AM', 'start': '07:44:06 AM', 'finish': '07:51:09 AM', 'wait': '0:14:06.049398'}","{'arrival': '07:51:09 AM', 'start': '08:14:07 AM', 'finish': '08:28:12 AM', 'wait': '0:22:57.691996'}","{'arrival': '08:28:12 AM', 'start': '08:47:15 AM', 'finish': '08:57:15 AM', 'wait': '0:19:02.937696'}",,"{'arrival': '08:57:15 AM', 'start': '08:57:15 AM', 'finish': '09:12:15 AM', 'wait': '0:00:00'}",,,
Patient 3,"{'arrival': '07:31:00 AM', 'start': '07:51:09 AM', 'finish': '07:58:13 AM', 'wait': '0:20:09.626173'}","{'arrival': '07:58:13 AM', 'start': '08:28:12 AM', 'finish': '08:42:12 AM', 'wait': '0:29:59.238199'}","{'arrival': '08:42:12 AM', 'start': '08:57:15 AM', 'finish': '09:07:15 AM', 'wait': '0:15:02.336136'}",,"{'arrival': '09:07:15 AM', 'start': '09:12:15 AM', 'finish': '09:27:20 AM', 'wait': '0:05:00.256979'}",,,
Patient 4,"{'arrival': '07:31:00 AM', 'start': '07:58:13 AM', 'finish': '08:05:17 AM', 'wait': '0:27:13.008837'}","{'arrival': '08:05:17 AM', 'start': '08:42:12 AM', 'finish': '08:56:15 AM', 'wait': '0:36:55.077852'}","{'arrival': '08:56:15 AM', 'start': '09:27:15 AM', 'finish': '09:37:20 AM', 'wait': '0:31:00.003981'}",,"{'arrival': '09:37:20 AM', 'start': '09:42:24 AM', 'finish': '09:57:28 AM', 'wait': '0:05:03.740493'}","{'arrival': '09:57:28 AM', 'start': '09:57:28 AM', 'finish': '10:12:28 AM', 'wait': '0:00:00'}",,
Patient 5,"{'arrival': '07:31:00 AM', 'start': '08:05:17 AM', 'finish': '08:12:19 AM', 'wait': '0:34:17.894715'}","{'arrival': '08:12:19 AM', 'start': '08:56:15 AM', 'finish': '09:10:20 AM', 'wait': '0:43:56.619294'}","{'arrival': '09:10:20 AM', 'start': '09:37:20 AM', 'finish': '09:47:21 AM', 'wait': '0:27:00.602499'}",,,,"{'arrival': '09:47:21 AM', 'start': '09:47:21 AM', 'finish': '09:58:24 AM', 'wait': '0:00:00'}",
Patient 6,"{'arrival': '07:32:00 AM', 'start': '08:12:19 AM', 'finish': '08:19:19 AM', 'wait': '0:40:19.016806'}","{'arrival': '08:19:19 AM', 'start': '09:10:20 AM', 'finish': '09:24:21 AM', 'wait': '0:51:00.860851'}","{'arrival': '09:24:21 AM', 'start': '09:47:21 AM', 'finish': '09:57:25 AM', 'wait': '0:23:00.325637'}",,,,"{'arrival': '09:57:25 AM', 'start': '09:58:24 AM', 'finish': '10:09:29 AM', 'wait': '0:00:59.001324'}",
Patient 7,"{'arrival': '07:33:00 AM', 'start': '08:19:19 AM', 'finish': '08:26:21 AM', 'wait': '0:46:19.141838'}","{'arrival': '10:28:33 AM', 'start': '13:09:05 PM', 'finish': '13:23:10 PM', 'wait': '2:40:31.955686'}","{'arrival': '13:23:10 PM', 'start': '13:25:16 PM', 'finish': '13:35:20 PM', 'wait': '0:02:06.635093'}","{'arrival': '10:07:29 AM', 'start': '10:07:29 AM', 'finish': '10:28:33 AM', 'wait': '0:00:00'}","{'arrival': '13:35:20 PM', 'start': '13:45:17 PM', 'finish': '14:00:20 PM', 'wait': '0:09:57.430748'}",,,
Patient 11,"{'arrival': '07:42:59 AM', 'start': '08:26:21 AM', 'finish': '08:33:23 AM', 'wait': '0:43:22.187417'}","{'arrival': '08:33:23 AM', 'start': '09:38:24 AM', 'finish': '09:52:28 AM', 'wait': '1:05:01.460651'}","{'arrival': '09:52:28 AM', 'start': '10:07:29 AM', 'finish': '10:17:32 AM', 'wait': '0:15:00.639928'}",,"{'arrival': '10:17:32 AM', 'start': '10:17:32 AM', 'finish': '10:32:35 AM', 'wait': '0:00:00'}",,,
Patient 13,"{'arrival': '07:42:59 AM', 'start': '08:33:23 AM', 'finish': '08:40:23 AM', 'wait': '0:50:24.337397'}","{'arrival': '08:40:23 AM', 'start': '09:52:28 AM', 'finish': '10:06:29 AM', 'wait': '1:12:05.293407'}","{'arrival': '10:06:29 AM', 'start': '10:27:32 AM', 'finish': '10:37:36 AM', 'wait': '0:21:03.017705'}",,,"{'arrival': '10:37:36 AM', 'start': '10:37:36 AM', 'finish': '10:52:39 AM', 'wait': '0:00:00'}",,
