,Registration,Consultation,Pharmacy billing,Pharmacy,Billing,Injection,Xray,Scan,Dressing
Patient 0,"{'arrival': '07:30:00 AM', 'start': '07:30:00 AM', 'finish': '07:37:03 AM', 'wait': '0:00:00'}","{'arrival': '07:37:03 AM', 'start': '08:00:03 AM', 'finish': '08:14:05 AM', 'wait': '0:23:00'}",,,,,,,
Patient 1,"{'arrival': '07:30:00 AM', 'start': '07:37:03 AM', 'finish': '07:44:06 AM', 'wait': '0:07:03.690712'}","{'arrival': '07:44:06 AM', 'start': '08:14:05 AM', 'finish': '08:28:05 AM', 'wait': '0:29:58.332725'}","{'arrival': '08:28:05 AM', 'start': '08:28:05 AM', 'finish': '08:36:05 AM', 'wait': '0:00:00'}","{'arrival': '08:36:05 AM', 'start': '08:36:05 AM', 'finish': '08:51:08 AM', 'wait': '0:00:00'}",,,,,
Patient 2,"{'arrival': '07:30:00 AM', 'start': '07:44:06 AM', 'finish': '07:51:10 AM', 'wait': '0:14:06.774967'}","{'arrival': '07:51:10 AM', 'start': '08:28:05 AM', 'finish': '08:42:08 AM', 'wait': '0:36:55.447950'}",,,,,,,
Patient 3,"{'arrival': '07:31:00 AM', 'start': '07:51:10 AM', 'finish': '07:58:14 AM', 'wait': '0:20:10.381688'}","{'arrival': '07:58:14 AM', 'start': '08:42:08 AM', 'finish': '08:56:11 AM', 'wait': '0:43:54.384115'}",,,"{'arrival': '08:56:11 AM', 'start': '09:05:58 AM', 'finish': '09:16:01 AM', 'wait': '0:09:47.694334'}","{'arrival': '09:16:01 AM', 'start': '09:16:01 AM', 'finish': '09:27:03 AM', 'wait': '0:00:00'}",,,
Patient 4,"{'arrival': '07:31:00 AM', 'start': '07:58:14 AM', 'finish': '08:05:14 AM', 'wait': '0:27:14.430535'}","{'arrival': '08:05:14 AM', 'start': '08:56:11 AM', 'finish': '09:10:15 AM', 'wait': '0:50:56.255448'}","{'arrival': '09:10:15 AM', 'start': '09:16:01 AM', 'finish': '09:24:04 AM', 'wait': '0:05:45.799505'}","{'arrival': '09:24:04 AM', 'start': '09:24:04 AM', 'finish': '09:39:06 AM', 'wait': '0:00:00'}",,,,,
Patient 5,"{'arrival': '07:31:00 AM', 'start': '08:05:14 AM', 'finish': '08:12:19 AM', 'wait': '0:34:14.858305'}","{'arrival': '08:12:19 AM', 'start': '09:10:15 AM', 'finish': '09:24:17 AM', 'wait': '0:57:55.877577'}","{'arrival': '09:24:17 AM', 'start': '09:44:08 AM', 'finish': '09:52:08 AM', 'wait': '0:19:50.224790'}","{'arrival': '09:52:08 AM', 'start': '09:52:08 AM', 'finish': '10:07:10 AM', 'wait': '0:00:00'}",,,,,
Patient 6,"{'arrival': '07:32:00 AM', 'start': '08:12:19 AM', 'finish': '08:19:22 AM', 'wait': '0:40:19.689204'}","{'arrival': '08:19:22 AM', 'start': '09:24:17 AM', 'finish': '09:38:21 AM', 'wait': '1:04:55.000494'}",,,,,,,
Patient 8,"{'arrival': '07:36:59 AM', 'start': '08:19:22 AM', 'finish': '08:26:24 AM', 'wait': '0:42:23.864285'}","{'arrival': '08:26:24 AM', 'start': '09:38:21 AM', 'finish': '09:52:25 AM', 'wait': '1:11:57.194637'}","{'arrival': '10:30:26 AM', 'start': '10:32:31 AM', 'finish': '10:40:33 AM', 'wait': '0:02:05.508312'}","{'arrival': '10:40:33 AM', 'start': '10:47:33 AM', 'finish': '11:02:36 AM', 'wait': '0:07:00.548951'}","{'arrival': '09:52:25 AM', 'start': '09:52:25 AM', 'finish': '10:02:25 AM', 'wait': '0:00:00'}",,,"{'arrival': '10:02:25 AM', 'start': '10:02:25 AM', 'finish': '10:30:26 AM', 'wait': '0:00:00'}",
Patient 9,"{'arrival': '07:37:59 AM', 'start': '08:26:24 AM', 'finish': '08:33:25 AM', 'wait': '0:48:25.512766'}","{'arrival': '08:33:25 AM', 'start': '09:52:25 AM', 'finish': '10:06:27 AM', 'wait': '1:18:59.416934'}","{'arrival': '10:06:27 AM', 'start': '10:06:27 AM', 'finish': '10:14:29 AM', 'wait': '0:00:00'}","{'arrival': '10:14:29 AM', 'start': '10:14:29 AM', 'finish': '10:29:32 AM', 'wait': '0:00:00'}",,,,,
Patient 11,"{'arrival': '07:42:59 AM', 'start': '08:33:25 AM', 'finish': '08:40:29 AM', 'wait': '0:50:26.801001'}",,,,,,,,
